[1] 9040
1:0:d=2016042018:UGRD:planetary boundary layer:anl:
2:93399:d=2016042018:VGRD:planetary boundary layer:anl:
3:188841:d=2016042018:VRATE:planetary boundary layer:anl:
4:282936:d=2016042018:GUST:surface:anl:
5:464243:d=2016042018:HGT:10 mb:anl:
6:659479:d=2016042018:TMP:10 mb:anl:
7:727999:d=2016042018:RH:10 mb:anl:
8:787161:d=2016042018:UGRD:10 mb:anl:
9:902112:d=2016042018:VGRD:10 mb:anl:
10:1009899:d=2016042018:ABSV:10 mb:anl:
11:1135674:d=2016042018:O3MR:10 mb:anl:
12:1263383:d=2016042018:HGT:20 mb:anl:
13:1458003:d=2016042018:TMP:20 mb:anl:
14:1525884:d=2016042018:RH:20 mb:anl:
15:1598646:d=2016042018:UGRD:20 mb:anl:
16:1719738:d=2016042018:VGRD:20 mb:anl:
17:1835844:d=2016042018:ABSV:20 mb:anl:
18:1969892:d=2016042018:O3MR:20 mb:anl:
19:2184563:d=2016042018:HGT:30 mb:anl:
20:2379340:d=2016042018:TMP:30 mb:anl:
21:2449494:d=2016042018:RH:30 mb:anl:
22:2528357:d=2016042018:UGRD:30 mb:anl:
23:2655518:d=2016042018:VGRD:30 mb:anl:
24:2776044:d=2016042018:ABSV:30 mb:anl:
25:2918320:d=2016042018:O3MR:30 mb:anl:
26:3157797:d=2016042018:HGT:50 mb:anl:
27:3387361:d=2016042018:TMP:50 mb:anl:
28:3460808:d=2016042018:RH:50 mb:anl:
29:3528197:d=2016042018:UGRD:50 mb:anl:
30:3671568:d=2016042018:VGRD:50 mb:anl:
31:3807857:d=2016042018:ABSV:50 mb:anl:
32:3969059:d=2016042018:O3MR:50 mb:anl:
33:4213235:d=2016042018:HGT:70 mb:anl:
34:4449197:d=2016042018:TMP:70 mb:anl:
35:4530887:d=2016042018:RH:70 mb:anl:
36:4632981:d=2016042018:UGRD:70 mb:anl:
37:4799198:d=2016042018:VGRD:70 mb:anl:
38:4953554:d=2016042018:ABSV:70 mb:anl:
39:5136363:d=2016042018:O3MR:70 mb:anl:
40:5377009:d=2016042018:HGT:100 mb:anl:
41:5587913:d=2016042018:TMP:100 mb:anl:
42:5673955:d=2016042018:RH:100 mb:anl:
43:5792672:d=2016042018:VVEL:100 mb:anl:
44:6107457:d=2016042018:UGRD:100 mb:anl:
45:6289585:d=2016042018:VGRD:100 mb:anl:
46:6460372:d=2016042018:ABSV:100 mb:anl:
47:6660707:d=2016042018:CLWMR:100 mb:anl:
48:6693793:d=2016042018:O3MR:100 mb:anl:
49:6922755:d=2016042018:HGT:150 mb:anl:
50:7139856:d=2016042018:TMP:150 mb:anl:
51:7231964:d=2016042018:RH:150 mb:anl:
52:7378300:d=2016042018:VVEL:150 mb:anl:
53:7671932:d=2016042018:UGRD:150 mb:anl:
54:7792348:d=2016042018:VGRD:150 mb:anl:
55:7909052:d=2016042018:ABSV:150 mb:anl:
56:8142747:d=2016042018:CLWMR:150 mb:anl:
57:8183177:d=2016042018:O3MR:150 mb:anl:
58:8413019:d=2016042018:HGT:200 mb:anl:
59:8632393:d=2016042018:TMP:200 mb:anl:
60:8728865:d=2016042018:RH:200 mb:anl:
61:8910192:d=2016042018:VVEL:200 mb:anl:
62:9242821:d=2016042018:UGRD:200 mb:anl:
63:9371856:d=2016042018:VGRD:200 mb:anl:
64:9501203:d=2016042018:ABSV:200 mb:anl:
65:9761145:d=2016042018:CLWMR:200 mb:anl:
66:9802856:d=2016042018:O3MR:200 mb:anl:
67:10036082:d=2016042018:HGT:250 mb:anl:
68:10255597:d=2016042018:TMP:250 mb:anl:
